None.Timestep;Time;Sum [None]
5820;2010/7/5 1:00;3600
5880;2010/7/5 2:00;3600
5940;2010/7/5 3:00;3600
6000;2010/7/5 4:00;3600
6060;2010/7/5 5:00;3300
6120;2010/7/5 6:00;0
6180;2010/7/5 7:00;0
6240;2010/7/5 8:00;1320
6300;2010/7/5 9:00;3600
6360;2010/7/5 10:00;3600
6420;2010/7/5 11:00;3600
6480;2010/7/5 12:00;3600
6540;2010/7/5 13:00;5400
6600;2010/7/5 14:00;6720
6660;2010/7/5 15:00;7200
6720;2010/7/5 16:00;7020
6780;2010/7/5 17:00;6840
6840;2010/7/5 18:00;3420
6900;2010/7/5 19:00;1200
6960;2010/7/5 20:00;2460
7020;2010/7/5 21:00;0
7080;2010/7/5 22:00;0
7140;2010/7/5 23:00;1500
7200;2010/7/6 0:00;3600
7260;2010/7/6 1:00;3600
7320;2010/7/6 2:00;3600
7380;2010/7/6 3:00;3600
7440;2010/7/6 4:00;3600
7500;2010/7/6 5:00;3600
7560;2010/7/6 6:00;3660
7620;2010/7/6 7:00;3600
7680;2010/7/6 8:00;3600
7740;2010/7/6 9:00;3600
7800;2010/7/6 10:00;3600
7860;2010/7/6 11:00;3600
7920;2010/7/6 12:00;3600
7980;2010/7/6 13:00;6000
8040;2010/7/6 14:00;7200
8100;2010/7/6 15:00;7200
8160;2010/7/6 16:00;7200
8220;2010/7/6 17:00;6900
8280;2010/7/6 18:00;4320
8340;2010/7/6 19:00;0
8400;2010/7/6 20:00;3600
8460;2010/7/6 21:00;180
8520;2010/7/6 22:00;0
8580;2010/7/6 23:00;1920
8640;2010/7/7 0:00;3600
8700;2010/7/7 1:00;3600
8760;2010/7/7 2:00;3600
8820;2010/7/7 3:00;3600
8880;2010/7/7 4:00;3600
8940;2010/7/7 5:00;3600
9000;2010/7/7 6:00;3660
9060;2010/7/7 7:00;2880
9120;2010/7/7 8:00;0
9180;2010/7/7 9:00;2400
9240;2010/7/7 10:00;3600
9300;2010/7/7 11:00;3600
9360;2010/7/7 12:00;3600
9420;2010/7/7 13:00;3600
9480;2010/7/7 14:00;5220
9540;2010/7/7 15:00;7200
9600;2010/7/7 16:00;6240
9660;2010/7/7 17:00;3600
9720;2010/7/7 18:00;6000
9780;2010/7/7 19:00;4740
9840;2010/7/7 20:00;0
9900;2010/7/7 21:00;0
9960;2010/7/7 22:00;0
10020;2010/7/7 23:00;3120
