None.Timestep;Time;Sum [None]
5880;2010/7/5 2:00;3600
5940;2010/7/5 3:00;3600
6000;2010/7/5 4:00;3600
6060;2010/7/5 5:00;3600
6120;2010/7/5 6:00;3600
6180;2010/7/5 7:00;3600
6240;2010/7/5 8:00;4440
6300;2010/7/5 9:00;5040
6360;2010/7/5 10:00;3600
6420;2010/7/5 11:00;3600
6480;2010/7/5 12:00;3600
6540;2010/7/5 13:00;3600
6600;2010/7/5 14:00;3600
6660;2010/7/5 15:00;3600
6720;2010/7/5 16:00;3600
6780;2010/7/5 17:00;3600
6840;2010/7/5 18:00;3600
6900;2010/7/5 19:00;1080
6960;2010/7/5 20:00;0
7020;2010/7/5 21:00;0
7080;2010/7/5 22:00;2040
7140;2010/7/5 23:00;3600
7200;2010/7/6 0:00;3600
7260;2010/7/6 1:00;3600
7320;2010/7/6 2:00;3600
7380;2010/7/6 3:00;3600
7440;2010/7/6 4:00;3600
7500;2010/7/6 5:00;3600
7560;2010/7/6 6:00;3600
7620;2010/7/6 7:00;5220
7680;2010/7/6 8:00;4440
7740;2010/7/6 9:00;3600
7800;2010/7/6 10:00;3600
7860;2010/7/6 11:00;3600
7920;2010/7/6 12:00;3600
7980;2010/7/6 13:00;3600
8040;2010/7/6 14:00;3600
8100;2010/7/6 15:00;3600
8160;2010/7/6 16:00;3600
8220;2010/7/6 17:00;3780
8280;2010/7/6 18:00;1620
8340;2010/7/6 19:00;0
8400;2010/7/6 20:00;0
8460;2010/7/6 21:00;0
8520;2010/7/6 22:00;0
8580;2010/7/6 23:00;480
8640;2010/7/7 0:00;3600
8700;2010/7/7 1:00;3600
8760;2010/7/7 2:00;3600
8820;2010/7/7 3:00;3600
8880;2010/7/7 4:00;3600
8940;2010/7/7 5:00;3600
9000;2010/7/7 6:00;3600
9060;2010/7/7 7:00;3600
9120;2010/7/7 8:00;5160
9180;2010/7/7 9:00;7200
9240;2010/7/7 10:00;3840
9300;2010/7/7 11:00;3600
9360;2010/7/7 12:00;3600
9420;2010/7/7 13:00;3600
9480;2010/7/7 14:00;3600
9540;2010/7/7 15:00;3600
9600;2010/7/7 16:00;3600
9660;2010/7/7 17:00;2700
9720;2010/7/7 18:00;0
9780;2010/7/7 19:00;0
9840;2010/7/7 20:00;0
9900;2010/7/7 21:00;0
9960;2010/7/7 22:00;0
10020;2010/7/7 23:00;0
